,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New Jersey,,2/15/2020,3,-3,5,2,1,0
US,United States,New Jersey,,2/16/2020,4,-4,20,0,0,0
US,United States,New Jersey,,2/17/2020,14,1,63,-15,-36,8
US,United States,New Jersey,,2/18/2020,1,0,5,2,-1,1
US,United States,New Jersey,,2/19/2020,2,0,16,2,1,0
US,United States,New Jersey,,2/20/2020,1,-1,2,1,0,0
US,United States,New Jersey,,2/21/2020,-1,-3,-2,0,2,1
US,United States,New Jersey,,2/22/2020,7,1,59,6,4,-1
US,United States,New Jersey,,2/23/2020,6,2,104,5,2,-1
US,United States,New Jersey,,2/24/2020,1,0,46,1,3,0
US,United States,New Jersey,,2/25/2020,-1,-3,-9,-1,2,0
US,United States,New Jersey,,2/26/2020,3,1,0,2,2,0
US,United States,New Jersey,,2/27/2020,2,1,2,2,1,0
US,United States,New Jersey,,2/28/2020,2,1,2,2,3,0
US,United States,New Jersey,,2/29/2020,7,2,9,2,4,-1
US,United States,New Jersey,,3/1/2020,8,4,28,3,2,-1
US,United States,New Jersey,,3/2/2020,6,5,53,1,3,-1
US,United States,New Jersey,,3/3/2020,4,6,10,2,3,0
US,United States,New Jersey,,3/4/2020,8,7,36,2,2,-1
US,United States,New Jersey,,3/5/2020,7,9,39,3,2,-1
US,United States,New Jersey,,3/6/2020,-2,0,-6,-3,2,2
US,United States,New Jersey,,3/7/2020,9,9,45,2,6,-1
US,United States,New Jersey,,3/8/2020,8,6,116,2,2,0
US,United States,New Jersey,,3/9/2020,8,8,121,-4,1,0
US,United States,New Jersey,,3/10/2020,5,10,34,-7,-2,1
US,United States,New Jersey,,3/11/2020,6,12,48,-8,-3,1
US,United States,New Jersey,,3/12/2020,5,25,19,-14,-5,3
US,United States,New Jersey,,3/13/2020,-1,27,39,-20,-9,6
US,United States,New Jersey,,3/14/2020,-7,16,87,-16,-2,4
US,United States,New Jersey,,3/15/2020,-14,6,79,-24,-8,5
US,United States,New Jersey,,3/16/2020,-10,18,9,-35,-25,11
US,United States,New Jersey,,3/17/2020,-27,4,9,-41,-35,16
US,United States,New Jersey,,3/18/2020,-30,1,46,-43,-39,17
US,United States,New Jersey,,3/19/2020,-35,-3,0,-50,-43,21
US,United States,New Jersey,,3/20/2020,-35,4,51,-49,-44,21
US,United States,New Jersey,,3/21/2020,-42,-1,51,-48,-30,14
US,United States,New Jersey,,3/22/2020,-57,-31,-3,-61,-38,15
US,United States,New Jersey,,3/23/2020,-56,-34,-55,-67,-55,26
US,United States,New Jersey,,3/24/2020,-46,-18,32,-60,-55,24
US,United States,New Jersey,,3/25/2020,-51,-27,-32,-65,-57,27
US,United States,New Jersey,,3/26/2020,-46,-19,52,-62,-57,26
US,United States,New Jersey,,3/27/2020,-48,-21,42,-63,-56,27
US,United States,New Jersey,,3/28/2020,-59,-32,-47,-67,-44,19
US,United States,New Jersey,,3/29/2020,-59,-33,-36,-70,-44,16
US,United States,New Jersey,,3/30/2020,-49,-25,-11,-66,-58,26
US,United States,New Jersey,,3/31/2020,-49,-24,-21,-67,-60,27
US,United States,New Jersey,,4/1/2020,-47,-21,13,-65,-60,27
US,United States,New Jersey,,4/2/2020,-51,-15,3,-67,-61,28
US,United States,New Jersey,,4/3/2020,-62,0,-30,-67,-60,30
US,United States,New Jersey,,4/4/2020,-64,-2,21,-62,-45,18
US,United States,New Jersey,,4/5/2020,-66,-11,26,-67,-45,16
US,United States,New Jersey,,4/6/2020,-58,-2,38,-65,-61,26
US,United States,New Jersey,,4/7/2020,-57,-5,22,-66,-62,27
US,United States,New Jersey,,4/8/2020,-58,-7,-10,-67,-63,28
US,United States,New Jersey,,4/9/2020,-61,-8,-34,-70,-64,30
US,United States,New Jersey,,4/10/2020,-62,-8,-43,-72,-68,33
US,United States,New Jersey,,4/11/2020,-61,-3,-12,-65,-47,18
US,United States,New Jersey,,4/12/2020,-76,-48,-19,-72,-52,16
US,United States,New Jersey,,4/13/2020,-70,-40,-54,-76,-64,30
US,United States,New Jersey,,4/14/2020,-58,-19,-12,-67,-61,27
US,United States,New Jersey,,4/15/2020,-56,-20,-17,-67,-61,27
