country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New York,,2/15/2020,3,-4,-2,-4,1,0
US,United States,New York,,2/16/2020,7,-3,13,0,0,-1
US,United States,New York,,2/17/2020,7,-2,23,-22,-37,9
US,United States,New York,,2/18/2020,-2,-5,-4,-5,-10,3
US,United States,New York,,2/19/2020,3,-2,11,-3,-9,2
US,United States,New York,,2/20/2020,2,-3,0,-3,-9,2
US,United States,New York,,2/21/2020,-1,-5,-8,-6,-9,3
US,United States,New York,,2/22/2020,8,0,29,3,4,-1
US,United States,New York,,2/23/2020,9,2,54,3,3,-1
US,United States,New York,,2/24/2020,3,0,25,-1,4,0
US,United States,New York,,2/25/2020,-1,-2,-1,-1,3,0
US,United States,New York,,2/26/2020,4,3,-1,0,3,0
US,United States,New York,,2/27/2020,-1,-2,-4,0,0,1
US,United States,New York,,2/28/2020,1,0,-9,0,3,1
US,United States,New York,,2/29/2020,7,1,-5,-1,4,0
US,United States,New York,,3/1/2020,10,5,9,0,3,-1
US,United States,New York,,3/2/2020,6,5,16,-1,4,0
US,United States,New York,,3/3/2020,4,6,6,0,4,0
US,United States,New York,,3/4/2020,7,8,16,0,3,0
US,United States,New York,,3/5/2020,8,9,21,0,4,-1
US,United States,New York,,3/6/2020,-1,0,-11,-3,3,1
US,United States,New York,,3/7/2020,10,8,17,0,6,-1
US,United States,New York,,3/8/2020,10,7,61,0,2,-1
US,United States,New York,,3/9/2020,7,8,62,-4,1,0
US,United States,New York,,3/10/2020,1,7,14,-7,-1,1
US,United States,New York,,3/11/2020,3,11,20,-8,-1,1
US,United States,New York,,3/12/2020,1,27,6,-13,-3,2
US,United States,New York,,3/13/2020,-6,28,1,-19,-8,5
US,United States,New York,,3/14/2020,-9,21,20,-20,-2,4
US,United States,New York,,3/15/2020,-14,14,28,-25,-7,4
US,United States,New York,,3/16/2020,-15,24,-10,-36,-25,10
US,United States,New York,,3/17/2020,-31,13,-16,-42,-32,14
US,United States,New York,,3/18/2020,-33,10,7,-44,-36,16
US,United States,New York,,3/19/2020,-39,2,-16,-50,-40,18
US,United States,New York,,3/20/2020,-40,8,-9,-50,-43,20
US,United States,New York,,3/21/2020,-46,0,-1,-50,-30,13
US,United States,New York,,3/22/2020,-54,-19,-15,-59,-36,13
US,United States,New York,,3/23/2020,-62,-37,-64,-69,-57,26
US,United States,New York,,3/24/2020,-53,-18,-16,-63,-56,25
US,United States,New York,,3/25/2020,-56,-23,-38,-66,-57,26
US,United States,New York,,3/26/2020,-52,-18,1,-64,-57,25
US,United States,New York,,3/27/2020,-54,-20,-7,-64,-57,27
US,United States,New York,,3/28/2020,-61,-28,-52,-67,-45,18
US,United States,New York,,3/29/2020,-62,-32,-47,-68,-46,16
US,United States,New York,,3/30/2020,-55,-26,-40,-69,-60,26
US,United States,New York,,3/31/2020,-55,-24,-36,-69,-61,26
US,United States,New York,,4/1/2020,-52,-18,-13,-67,-61,26
US,United States,New York,,4/2/2020,-54,-20,-26,-69,-62,27
US,United States,New York,,4/3/2020,-57,-22,-56,-70,-62,30
US,United States,New York,,4/4/2020,-58,-21,-5,-65,-47,18
US,United States,New York,,4/5/2020,-59,-28,-11,-68,-47,15
US,United States,New York,,4/6/2020,-53,-21,-3,-69,-62,26
US,United States,New York,,4/7/2020,-60,-11,-6,-69,-63,26
US,United States,New York,,4/8/2020,-62,-12,-23,-70,-63,27
US,United States,New York,,4/9/2020,-65,-15,-46,-73,-65,29
US,United States,New York,,4/10/2020,-65,-13,-53,-72,-66,32
US,United States,New York,,4/11/2020,-62,-4,-12,-65,-48,18
US,United States,New York,,4/12/2020,-75,-44,-10,-68,-51,15
US,United States,New York,,4/13/2020,-70,-39,-59,-76,-64,29
US,United States,New York,,4/14/2020,-60,-19,-15,-68,-61,26
US,United States,New York,,4/15/2020,-59,-20,-25,-69,-61,27
US,United States,New York,,4/16/2020,-61,-20,-35,-70,-61,27
US,United States,New York,,4/17/2020,-62,-22,-43,-68,-60,29
US,United States,New York,,4/18/2020,-65,-25,-40,-67,-45,18
US,United States,New York,,4/19/2020,-62,-26,11,-64,-43,14
US,United States,New York,,4/20/2020,-59,-23,-19,-68,-59,25
US,United States,New York,,4/21/2020,-63,-27,-43,-71,-60,27
US,United States,New York,,4/22/2020,-60,-19,-28,-68,-59,26
US,United States,New York,,4/23/2020,-60,-20,-32,-69,-59,26
US,United States,New York,,4/24/2020,-63,-25,-50,-70,-59,29
US,United States,New York,,4/25/2020,-57,-15,45,-58,-41,14
US,United States,New York,,4/26/2020,-66,-33,-58,-70,-44,15
US,United States,New York,,4/27/2020,-59,-23,-37,-68,-58,25
US,United States,New York,,4/28/2020,-54,-15,22,-64,-57,18
US,United States,New York,,4/29/2020,-56,-19,-27,-67,-58,25
US,United States,New York,,4/30/2020,-58,-21,-45,-69,-58,26
US,United States,New York,,5/1/2020,-55,-15,-28,-64,-56,26
US,United States,New York,,5/2/2020,-51,-10,63,-54,-38,13
US,United States,New York,,5/3/2020,-50,-16,71,-57,-36,10
US,United States,New York,,5/4/2020,-51,-17,-11,-64,-55,23
US,United States,New York,,5/5/2020,-49,-9,4,-63,-55,22
US,United States,New York,,5/6/2020,-54,-16,-30,-65,-55,24
US,United States,New York,,5/7/2020,-50,-8,16,-62,-55,22
US,United States,New York,,5/8/2020,-55,-14,-40,-65,-54,25
US,United States,New York,,5/9/2020,-53,-6,-29,-59,-37,15
US,United States,New York,,5/10/2020,-50,-12,22,-56,-33,10
US,United States,New York,,5/11/2020,-55,-23,-31,-66,-54,23
US,United States,New York,,5/12/2020,-50,-12,0,-62,-53,22
US,United States,New York,,5/13/2020,-48,-10,18,-61,-53,22
US,United States,New York,,5/14/2020,-49,-11,15,-61,-53,22
US,United States,New York,,5/15/2020,-50,-12,12,-59,-52,23
US,United States,New York,,5/16/2020,-47,-9,73,-52,-33,11
US,United States,New York,,5/17/2020,-47,-15,54,-56,-31,10
US,United States,New York,,5/18/2020,-47,-14,-3,-61,-51,21
US,United States,New York,,5/19/2020,-44,-9,13,-60,-51,20
US,United States,New York,,5/20/2020,-43,-6,27,-59,-51,20
US,United States,New York,,5/21/2020,-42,-4,39,-58,-51,20
US,United States,New York,,5/22/2020,-45,-6,19,-57,-50,21
US,United States,New York,,5/23/2020,-50,-12,0,-58,-32,12
US,United States,New York,,5/24/2020,-43,-7,93,-52,-29,7
US,United States,New York,,5/25/2020,-49,-15,70,-67,-73,23
