country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,New York,New York City,2/15/2020,-1,-5.2,-7.6,-3.4,1,0.2
US,United States,New York,New York City,2/16/2020,2.2,-4.4,4.4,-1.6,-1.6,-0.6
US,United States,New York,New York City,2/17/2020,4.8,-4.6,17,-22.4,-42.4,10
US,United States,New York,New York City,2/18/2020,-1.4,-4.4,-4.4,-6,-9.2,2.8
US,United States,New York,New York City,2/19/2020,2,-3.2,10.6,-4.2,-8.4,1.8
US,United States,New York,New York City,2/20/2020,1,-3.4,-2.2,-5,-8.6,2
US,United States,New York,New York City,2/21/2020,-3.6,-7.2,-8.8,-7.2,-8.8,3.6
US,United States,New York,New York City,2/22/2020,6,0.4,27.8,4.4,5,-1
US,United States,New York,New York City,2/23/2020,5.2,0.4,46,3,1.4,-1
US,United States,New York,New York City,2/24/2020,3.4,-1,21.6,1.2,5,-0.2
US,United States,New York,New York City,2/25/2020,-2.4,-3.6,-2.6,0,3.2,0.2
US,United States,New York,New York City,2/26/2020,1.4,-0.4,-2.4,-0.4,3,0
US,United States,New York,New York City,2/27/2020,2.8,0.2,-5.2,0.2,3.2,0
US,United States,New York,New York City,2/28/2020,1.6,0.4,-8,0.6,3.8,0
US,United States,New York,New York City,2/29/2020,5,1.8,-6,1.2,5.6,-0.6
US,United States,New York,New York City,3/1/2020,4.6,2.4,3,0,1.4,-0.2
US,United States,New York,New York City,3/2/2020,7.2,5.8,15.4,0.8,5.4,-0.2
US,United States,New York,New York City,3/3/2020,3.4,4.8,5.8,0.8,4,0
US,United States,New York,New York City,3/4/2020,7.4,7.8,17.6,0,2.2,-0.2
US,United States,New York,New York City,3/5/2020,8.2,9.2,19.8,0.4,3,-0.6
US,United States,New York,New York City,3/6/2020,-4.4,-2.2,-9.4,-3.6,2.2,1.6
US,United States,New York,New York City,3/7/2020,6.8,8.4,22.2,3,6.4,-0.2
US,United States,New York,New York City,3/8/2020,5.2,5.4,51.4,0,0.6,-0.2
US,United States,New York,New York City,3/9/2020,8.2,7.2,54,-1.4,2,0.6
US,United States,New York,New York City,3/10/2020,1.6,8.4,17.6,-4.6,-2.2,2
US,United States,New York,New York City,3/11/2020,2.2,10,21.4,-7.4,-3.2,2.2
US,United States,New York,New York City,3/12/2020,-1.2,27,2.8,-12.2,-7.2,4.2
US,United States,New York,New York City,3/13/2020,-8.4,26.4,10,-18.4,-12,6.4
US,United States,New York,New York City,3/14/2020,-12.2,19,31.4,-17.6,-3.8,4
US,United States,New York,New York City,3/15/2020,-18.8,11,27.8,-24.6,-10.4,5.2
US,United States,New York,New York City,3/16/2020,-19.8,18.6,-16.4,-35.2,-31.2,13.4
US,United States,New York,New York City,3/17/2020,-31.8,12.2,-13,-41.4,-37.2,16.6
US,United States,New York,New York City,3/18/2020,-33.4,8,1,-44.4,-40.4,17.6
US,United States,New York,New York City,3/19/2020,-40.4,-2.2,-18.2,-49,-44.8,20.4
US,United States,New York,New York City,3/20/2020,-41.6,5.8,3.2,-49,-48,22
US,United States,New York,New York City,3/21/2020,-48,1.2,1.2,-47.2,-33.6,14.2
US,United States,New York,New York City,3/22/2020,-59,-21.4,-28.6,-57.4,-40.8,14.8
US,United States,New York,New York City,3/23/2020,-66.8,-43.2,-67.2,-68.4,-61.8,29
US,United States,New York,New York City,3/24/2020,-55.6,-19.8,-14.8,-61.8,-61.8,27
US,United States,New York,New York City,3/25/2020,-61,-29.6,-48.6,-65.2,-62.8,28.6
US,United States,New York,New York City,3/26/2020,-56.8,-21.8,-11.8,-63.2,-63.4,28.2
US,United States,New York,New York City,3/27/2020,-59,-24.4,-9.2,-62.6,-63.2,29.8
US,United States,New York,New York City,3/28/2020,-68.4,-33.6,-55.8,-64.6,-50.8,20
US,United States,New York,New York City,3/29/2020,-69.2,-36.4,-57,-66.2,-51.6,18
US,United States,New York,New York City,3/30/2020,-60.2,-30.4,-42.8,-66.4,-66,29
